Id Ind;ID Kawak;Nombre del indicador;Unidad;Proceso/Subproceso;Descripción del indicador;Linea_Estrategica;Objetivo_Estrategico;Tipo de Indicador;Clasificación;Frecuencia;Fecha Desde;Fecha Hasta;Tipo de variables;Series;Sentido;Formula;Variable 1;Unidad V1;Fuente V1;Variable 2;Unidad V2;Fuente V2;Variable 3;Unidad V3;Fuente V3;Responsable del calculo;Responsable del analisis;Deficiente;Alerta;Satisfactorio;Sobresaliente;Meta Frecuencia;Semestre_1;Semestre_2;Deficiente <= Serie;Alerta Serie;Satisfactorio Serie;Sobresaliente >= Serie;Modificado;Creado;Creado por;Usuario_Aprobador;Fecha_Aprobación;Estado_aprobacion;Año;Estado_Indicador;PDI;CNA/SNIES;Desempeño del proceso;Decisiones Proceso;SubClasificación;Estado;Clasificación_ CNA;Formato_Evidencia;Nombre_Evidencia;Meta 1 Semestre Serie;Meta 2 Semestre Serie;Meta Anual Series;Tipo_Kawak;Factor_CNA;Caracteristica;Proyecto_Asociado;Tipo de elemento;Ruta de acceso
53;53;Eficacia en planes de acción implementados;Gerencia de planeación y gestión;Gestión de calidad;;Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Gestión;Eficacia;Trimestral;;;;;;TOTAL PLANES DE ACCIÓN CERRADOS EFICAZMENTE/TOTAL PLANES DE ACCIÓN CERRADOS;TOTAL PLANES DE ACCIÓN CERRADOS EFICAZMENTE;Número;;TOTAL PLANES DE ACCIÓN CERRADOS;NÚMERO;;-;-;;Jefe de Sistema Integrado;Jefe de Sistema Integrado;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 15:47;Planeación y Gestión;Camilo Arturo Coronel Rico;;;;Inactivo;true;Si;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
54;54;CALIDAD DE AGUA POTABLE SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Anual;;;;;;NÚMERO DE PARÁMETROS CUMPLIDOS RESOLUCIÓN 2115 2007/TOTAL PARAMETROS RESOLUCIÓN 2115 DE 2007;NÚMERO DE PARÁMETROS CUMPLIDOS RESOLUCIÓN 2115 2007;Número;;TOTAL PARAMETROS RESOLUCIÓN 2115 DE 2007;NÚMERO;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
56;56;"	
CONSUMO DE PAPEL SEDE CAMPUS";Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Trimestral;;;;;;"	CONSUMO ANUAL PAPEL";"	CONSUMO ANUAL PAPEL";Número;;-;-;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
58;58;EBITDA;Rectoría;Planeación Financiera;;Sostenibilidad;Promover una cultura de optimización de recursos financieros como apalancador de la estrategia;Gestión;Eficacia;Anual;;;;;Negativo;TOTAL OPEX;TOTAL OPEX;MONEDA;;-;-;;;;;DIRECCIÓN DE PLANEACIÓN FINANCIERA;DIRECCIÓN DE PLANEACIÓN FINANCIERA;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
61;61;CONSUMO ENERGÍA ELÉCTRICA SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Trimestral;;;;;;CONSUMO DE ENERGÍA ELÉCTRICA ANUAL;CONSUMO DE ENERGÍA ELÉCTRICA ANUAL;KW;;-;-;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
62;62;GESTIÓN DEL AIRE SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Bimestral;;;;;;NÚMERO DE ACTIVIDADES DE CONTROL DE EMISIONES ATMOSFÉRICAS REALIZADAS/TOTAL DE ACTIVIDADES DE CONTROL DE EMISIONES ATMOSFÉRICAS PROGRAMADAS;NÚMERO DE ACTIVIDADES DE CONTROL DE EMISIONES ATMOSFÉRICAS REALIZADAS;Número;;TOTAL DE ACTIVIDADES DE CONTROL DE EMISIONES ATMOSFÉRICAS PROGRAMADAS;NÚMERO;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
63;63;MANTENIMIENTO DISEÑO PAISAJÍSTICO SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Trimestral;;;;;;NÚMERO DE ACTIVIDADES DE MANTENIMIENTO PAISAJÍSTICO REALIZADAS/TOTAL DE ACTIVIDADES DE MANTENIMIENTO PAISAJÍSTICO PROGRAMADAS;NÚMERO DE ACTIVIDADES DE MANTENIMIENTO PAISAJÍSTICO REALIZADAS;Número;;TOTAL DE ACTIVIDADES DE MANTENIMIENTO PAISAJÍSTICO PROGRAMADAS;NÚMERO;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
64;64;EDUCACIÓN AMBIENTAL;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Semestral;;;;;;NÚMERO DE ACTIVIDADES DE EDUCACIÓN AMBIENTAL REALIZADAS/TOTAL DE ACTIVIDADES DE EDUCACIÓN AMBIENTAL PROGRAMADAS;NÚMERO DE ACTIVIDADES DE EDUCACIÓN AMBIENTAL REALIZADAS;Número;;TOTAL DE ACTIVIDADES DE EDUCACIÓN AMBIENTAL PROGRAMADAS;NÚMERO;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
65;65;EFICACIA EN CAPACITACIÓN AMBIENTAL;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Semestral;;;;;;"	PROMEDIO EVALUACIÓN CAPACITACIÓN AMBIENTAL";"	PROMEDIO EVALUACIÓN CAPACITACIÓN AMBIENTAL";PORCENTAJE;;-;-;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
66;66;CUMPLIMIENTO SGA SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Anual;;;;;;NÚMERO DE ACTIVIDADES SGA REALIZADAS/TOTAL ACTIVIDADES SGA PROGRAMADAS;NÚMERO DE ACTIVIDADES SGA REALIZADAS;Número;;TOTAL ACTIVIDADES SGA PROGRAMADAS;NÚMERO;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
67;67;CONSUMO DE AGUA SEDE CAMPUS;Gerencia de planeación y gestión;Gestión Ambiental;;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Gestión;Eficacia;Trimestral;;;;;;"	CONSUMO DE AGUA";"	CONSUMO DE AGUA";MT3;;-;-;;-;-;;EDGAR CAMILO CHACON MATAJUDÍOS;EDGAR CAMILO CHACON MATAJUDÍOS;;;;;;;;;;;;15/10/2025 22:24;24/02/2025 16:46;Licec Ximena Silva Goyeneche;;;;;Inactivo;;;;;;;;;;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
68;68;Evaluación de desempeño a proveedores críticos;Vicerrectoría financiera y administrativa;Gestión De Abastecimiento;Resultado semestral evaluación de desempeño a proveedores críticos.;Experiencia;Garantizar una experiencia significativa y de valor agregado a la comunidad POLI;Gestión;Eficacia;Semestral;1/01/2018;;Serie Única;;Positivo;Promedio Evaluación De Proveedor;Promedio Evaluación De Proveedores;Porcentaje;EVP Críticos;;0;0;0;0;0;"Director de Compras y Abastecimiento
";"Director de Compras y Abastecimiento
";0%-64,9%;65%  - 84,9%;85% -95%;95%;85%;85%;85%;;;;;14/05/2026 14:12;24/02/2025 16:46;Licec Ximena Silva Goyeneche;Juan Carlos Acosta Bohorquez;;;2026;Stand by;false;false;true;true;;Actualizar Metas;Resultado;Excel;EVP Críticos;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
